GEOID,STATE_NAME,NAME,type,count,PopEst_2019
04023,Arizona,Santa Cruz,hail,11.0,46498
12059,Florida,Holmes,hail,0.0,19617
27081,Minnesota,Lincoln,hail,4.0,5639
30029,Montana,Flathead,hail,6.0,103806
31135,Nebraska,Perkins,hail,48.0,2891
38075,North Dakota,Renville,hail,15.0,2327
40003,Oklahoma,Alfalfa,hail,14.0,5702
13063,Georgia,Clayton,hail,1.0,292256
08101,Colorado,Pueblo,hail,54.0,168424
17051,Illinois,Fayette,hail,0.0,21336
18159,Indiana,Tipton,hail,0.0,15148
20111,Kansas,Lyon,hail,49.0,33195
17037,Illinois,DeKalb,hail,8.0,104897
27165,Minnesota,Watonwan,hail,5.0,10897
29067,Missouri,Douglas,hail,34.0,13185
28101,Mississippi,Newton,hail,8.0,21018
39149,Ohio,Shelby,hail,0.0,48590
37181,North Carolina,Vance,hail,0.0,44535
48383,Texas,Reagan,hail,3.0,3849
39125,Ohio,Paulding,hail,1.0,18672
17049,Illinois,Effingham,hail,3.0,34008
17081,Illinois,Jefferson,hail,4.0,37684
69110,Commonwealth of the Northern Mariana Islands,Saipan,hail,0.0,
26025,Michigan,Calhoun,hail,2.0,134159
48259,Texas,Kendall,hail,21.0,47431
08057,Colorado,Jackson,hail,1.0,1392
13295,Georgia,Walker,hail,2.0,69761
19089,Iowa,Howard,hail,4.0,9158
26019,Michigan,Benzie,hail,0.0,17766
28107,Mississippi,Panola,hail,6.0,34192
35028,New Mexico,Los Alamos,hail,0.0,19369
55063,Wisconsin,La Crosse,hail,22.0,118016
12067,Florida,Lafayette,hail,0.0,8422
17175,Illinois,Stark,hail,1.0,5342
18041,Indiana,Fayette,hail,2.0,23102
21073,Kentucky,Franklin,hail,3.0,50991
29007,Missouri,Audrain,hail,5.0,25388
31143,Nebraska,Polk,hail,11.0,5213
31035,Nebraska,Clay,hail,32.0,6203
39011,Ohio,Auglaize,hail,3.0,45656
42075,Pennsylvania,Lebanon,hail,3.0,141793
46069,South Dakota,Hyde,hail,19.0,1301
54015,West Virginia,Clay,hail,1.0,8508
54097,West Virginia,Upshur,hail,4.0,24176
55099,Wisconsin,Price,hail,11.0,13351
46049,South Dakota,Faulk,hail,23.0,2299
48253,Texas,Jones,hail,22.0,20083
13143,Georgia,Haralson,hail,2.0,29792
19073,Iowa,Greene,hail,11.0,8888
08023,Colorado,Costilla,hail,0.0,3887
17033,Illinois,Crawford,hail,1.0,18667
20175,Kansas,Seward,hail,30.0,21428
30051,Montana,Liberty,hail,6.0,2337
30089,Montana,Sanders,hail,2.0,12113
37129,North Carolina,New Hanover,hail,4.0,234473
35019,New Mexico,Guadalupe,hail,5.0,4300
31037,Nebraska,Colfax,hail,7.0,10709
02240,Alaska,Southeast Fairbanks,hail,0.0,6893
06021,California,Glenn,hail,0.0,28393
17065,Illinois,Hamilton,hail,4.0,8116
19033,Iowa,Cerro Gordo,hail,17.0,42450
19141,Iowa,O'Brien,hail,8.0,13753
27161,Minnesota,Waseca,hail,4.0,18612
29077,Missouri,Greene,hail,38.0,293086
31093,Nebraska,Howard,hail,11.0,6445
37049,North Carolina,Craven,hail,10.0,102139
39175,Ohio,Wyandot,hail,0.0,21772
37077,North Carolina,Granville,hail,2.0,60443
51678,Virginia,Lexington,hail,0.0,7446
55019,Wisconsin,Clark,hail,5.0,34774
55061,Wisconsin,Kewaunee,hail,2.0,20434
48231,Texas,Hunt,hail,22.0,98594
48393,Texas,Roberts,hail,35.0,854
18075,Indiana,Jay,hail,3.0,20436
48463,Texas,Uvalde,hail,20.0,26741
72095,Puerto Rico,Maunabo,hail,0.0,10321
17127,Illinois,Massac,hail,1.0,13772
26121,Michigan,Muskegon,hail,3.0,173566
26059,Michigan,Hillsdale,hail,3.0,45605
31157,Nebraska,Scotts Bluff,hail,53.0,35618
28125,Mississippi,Sharkey,hail,3.0,4321
31109,Nebraska,Lancaster,hail,48.0,319090
55071,Wisconsin,Manitowoc,hail,7.0,78981
02158,Alaska,Kusilvak,hail,0.0,8314
18031,Indiana,Decatur,hail,6.0,26559
20081,Kansas,Haskell,hail,23.0,3968
29169,Missouri,Pulaski,hail,4.0,52607
26037,Michigan,Clinton,hail,2.0,79595
38039,North Dakota,Griggs,hail,17.0,2231
39137,Ohio,Putnam,hail,7.0,33861
48089,Texas,Colorado,hail,1.0,21493
48045,Texas,Briscoe,hail,8.0,1546
55087,Wisconsin,Outagamie,hail,36.0,187885
48111,Texas,Dallam,hail,23.0,7287
51540,Virginia,Charlottesville,hail,3.0,47266
01027,Alabama,Clay,hail,3.0,13235
