,PopEst_2019,GEOID
0,21336,17051
1,28618,17107
2,23491,17165
3,696535,17097
4,13772,17127
5,12147,17017
6,36520,18069
7,24102,18181
8,20436,18075
9,44729,18145
10,20669,18153
11,195732,18157
12,338011,18057
13,83779,18005
14,19974,18049
15,47744,18113
16,118302,18019
17,170311,18063
18,65769,18053
19,44231,18071
20,20799,18119
21,33964,18183
22,32399,18023
23,7054,18161
24,49458,18029
25,45370,18093
26,19169,18123
27,25427,18129
28,20257,18015
29,16346,18045
30,22995,18149
31,31922,18055
32,25645,19011
33,97311,19061
34,6619,19151
35,7044,19177
36,3602,19003
37,5496,19009
38,9000,19051
39,6860,19093
40,7707,19135
41,34855,19167
42,9668,19025
43,42450,19033
44,16846,19083
45,8600,19117
46,8886,19147
47,19954,19087
48,37185,19099
49,18504,19157
50,17549,19043
51,25062,19017
52,9208,19063
53,10630,19081
54,19439,19097
55,33657,19111
56,51466,19181
57,22095,19123
58,16016,19041
59,17011,19055
60,11164,13005
61,19109,13025
62,16700,13017
63,22383,13033
64,67580,13047
65,10907,13053
66,24789,13055
67,156714,13073
68,26404,13087
69,98498,13115
70,244252,13117
71,45328,13137
72,26205,13147
73,117406,13185
74,14378,13191
75,21167,13199
76,27578,13207
77,22119,13237
78,29524,13261
79,1537,13265
80,5254,13301
81,6441,19185
82,172943,19163
83,5917,20181
84,7777,20193
85,5620,20127
86,4920,20163
87,1994,20025
88,5436,20077
89,33195,20111
90,6414,20145
91,1700,20033
92,2636,20063
93,34429,20079
94,3838,20093
95,28542,20113
96,11361,05041
97,12477,05049
98,13202,05061
99,99386,05051
100,40651,05093
101,64072,05115
102,8062,05117
103,38682,05139
104,6320,05147
105,24919,05023
106,7956,05025
107,16719,05067
108,21532,05057
109,17442,05135
110,12506,05137
111,239187,05143
112,41932,05005
113,19657,05003
114,110332,05031
115,45325,05055
116,10455,05105
117,23528,05111
118,17007,05133
119,5189,05013
120,22320,05019
121,16406,05075
122,6701,05095
123,20846,05029
124,7753,05101
125,17486,05001
126,73309,05085
127,28380,05015
128,24994,05123
129,391911,05119
130,277680,06047
131,17203,06043
132,8841,06049
133,1153526,06013
134,18039,06027
135,550660,06099
136,446499,06083
137,65084,06103
138,14444,06051
139,62808,06069
140,39627,13029
141,24936,13035
142,54666,13039
143,12404,13079
144,10190,13099
145,43273,13069
146,148509,13077
147,31369,13123
148,94593,13297
149,9777,13317
150,20605,13091
151,57963,13129
152,258773,13057
153,114421,13113
154,29992,13177
155,32591,13227
156,18324,13133
157,17270,13075
158,26108,13085
159,1063937,13121
160,201513,15001
161,974563,15003
162,72293,15007
163,86,15005
164,24030,16031
165,5366,16063
166,11392,16085
167,13876,16041
168,40408,16069
169,165697,16055
170,21039,16067
171,86878,16083
172,23021,16013
173,7831,16015
174,2597,16023
175,15179,16047
176,481587,16001
177,6125,16007
178,46811,16011
179,1106,16025
180,8756,16035
181,29871,16051
